"Enhancer","Genes","XBP1","Trl","xrp1","USP","bergman_EcR_usp","CF2","bergman_Rel","da","crp","EcR","GATA_elemento","ERR","Eip74EF","h","gcm","kay_Jra","Hnf4","srp_SANGER","slp2_forkhead","Rel_FFS","Tgo","TBS","new_act_score","treatment","new_act_binary","chromosome"
"3L:11283997-11284551(+)","FBgn0266953;FBgn0036152;FBgn0265931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,510.206,"H2O","Low","3L"
"3L:11289924-11290731(+)","FBgn0266953;FBgn0036152",0,0,2,0,0,2,0,0,1,1,0,1,0,0,0,0,0,3,1,0,0,11,914.268,"H2O","Low","3L"
"3L:11291929-11292689(+)","FBgn0266953;FBgn0036152",0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,6,719.874,"H2O","Low","3L"
"3L:11349426-11350157(+)","FBgn0266786;FBgn0036155;FBgn0266396;FBgn0266785",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,2037.14,"H2O","High","3L"
"3L:11407741-11408665(+)","FBgn0265470;FBgn0036156;FBgn0265469",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,576.412,"H2O","Low","3L"
"3L:11423168-11423690(+)","FBgn0036157;FBgn0265741;FBgn0036158",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,772.617,"H2O","Low","3L"
"3L:11431759-11432447(+)","FBgn0265742;FBgn0036157;FBgn0265741;FBgn0036158;FBgn0036159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1786.8,"H2O","High","3L"
"3L:11529372-11530116(+)","FBgn0036169;FBgn0036170;FBgn0036168;FBgn0259481",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,810.458,"H2O","Low","3L"
"3L:11532929-11533751(+)","FBgn0036169;FBgn0036170;FBgn0036168;FBgn0259481",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,1,0,0,7,1452.29,"H2O","High","3L"
"3L:11555939-11556749(+)","FBgn0053267;FBgn0263569;FBgn0036173;FBgn0259481",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,4099.3,"H2O","High","3L"
"3L:11621844-11622556(+)","FBgn0263632;FBgn0036180;FBgn0042138;FBgn0036181;FBgn0036184;FBgn0036183;FBgn0262021;FBgn0086254;FBgn0052091;FBgn0266651",0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1888.08,"H2O","High","3L"
"3L:1164093-1164893(+)","FBgn0025525",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,5,452.393,"H2O","Low","3L"
"3L:11721156-11721767(+)","FBgn0036202;FBgn0052088;FBgn0040817;FBgn0052087;FBgn0261381;FBgn0036198;FBgn0261353;FBgn0036199;FBgn0036196",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,0,7,1227.05,"H2O","Low","3L"
"3L:11788755-11789378(+)","FBgn0004381;FBgn0036205;FBgn0052093;FBgn0036206;FBgn0259140;FBgn0036208;FBgn0036204;FBgn0015278;FBgn0262291;FBgn0036207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1281.45,"H2O","High","3L"
"3L:11875241-11876051(+)","FBgn0266100;FBgn0036219;FBgn0036218;FBgn0036217;FBgn0036220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1951.74,"H2O","High","3L"
"3L:11966264-11966898(+)","FBgn0264488;FBgn0036227;FBgn0036229;FBgn0036232;FBgn0028573;FBgn0262986;FBgn0036230;FBgn0053265;FBgn0036228;FBgn0259748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,986.303,"H2O","Low","3L"
"3L:12222750-12223513(+)","FBgn0260941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.483,"H2O","Low","3L"
"3L:12240511-12241185(+)","FBgn0264723;FBgn0260941",0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,522.955,"H2O","Low","3L"
"3L:12242036-12242702(+)","FBgn0264723;FBgn0260941",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2659.81,"H2O","High","3L"
"3L:12265156-12266454(+)","FBgn0052100;FBgn0036271;FBgn0260941;FBgn0036272;FBgn0036273",0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,1492.76,"H2O","High","3L"
"3L:12269934-12270648(+)","FBgn0052100;FBgn0036271;FBgn0260941;FBgn0036272;FBgn0036273",0,0,1,2,1,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,9,533.423,"H2O","Low","3L"
"3L:12275369-12275993(+)","FBgn0052100;FBgn0267218;FBgn0267961;FBgn0260941;FBgn0036274;FBgn0036271;FBgn0036273;FBgn0036272",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,818.511,"H2O","Low","3L"
"3L:12405841-12406454(+)","FBgn0052103;FBgn0052104;FBgn0011279;FBgn0036282;FBgn0036279;FBgn0020655",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,622.805,"H2O","Low","3L"
"3L:12407365-12407944(+)","FBgn0052103;FBgn0052104;FBgn0036285;FBgn0011279;FBgn0036282;FBgn0020655",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1048.7,"H2O","Low","3L"
"3L:12410613-12411534(+)","FBgn0052103;FBgn0052104;FBgn0036285;FBgn0011279;FBgn0036282;FBgn0020655",0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,7,541.495,"H2O","Low","3L"
"3L:12557751-12558390(+)","FBgn0036302;FBgn0263587",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,926.313,"H2O","Low","3L"
"3L:12704468-12705199(+)","FBgn0014343",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,643.323,"H2O","Low","3L"
"3L:12772325-12773402(+)","FBgn0036310;FBgn0052106;FBgn0036311;FBgn0260945;FBgn0052113;FBgn0036309",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,1,0,7,896.869,"H2O","Low","3L"
"3L:12802539-12803153(+)","FBgn0267984;FBgn0262714;FBgn0260945;FBgn0036314;FBgn0260965;FBgn0052110;FBgn0261674",0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,884.555,"H2O","Low","3L"
"3L:12945821-12946642(+)","FBgn0036325",0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,8,516.465,"H2O","Low","3L"
"3L:1295883-1296998(+)","FBgn0035204;FBgn0035206;FBgn0035203;FBgn0010333;FBgn0052333;FBgn0025682;FBgn0035205;FBgn0262937",0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,1,0,2,0,2,0,11,502.692,"H2O","Low","3L"
"3L:1299689-1300398(+)","FBgn0035204;FBgn0035206;FBgn0035203;FBgn0035207;FBgn0010333;FBgn0052333;FBgn0025682;FBgn0035205;FBgn0262937",2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,672.509,"H2O","Low","3L"
"3L:13021771-13022527(+)","FBgn0036334;FBgn0266709;FBgn0036330;FBgn0260441;FBgn0036340;FBgn0086079;FBgn0086078;FBgn0036336;FBgn0266682;FBgn0036332;FBgn0266994;FBgn0266650;FBgn0036331;FBgn0083978;FBgn0036337;FBgn0036335;FBgn0036333",0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,7,572.442,"H2O","Low","3L"
"3L:13041532-13042266(+)","FBgn0086601;FBgn0036342;FBgn0036340;FBgn0011284;FBgn0036341;FBgn0266682;FBgn0082967;FBgn0266650;FBgn0083978;FBgn0082966",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,476.421,"H2O","Low","3L"
"3L:13191157-13192161(+)","FBgn0086916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,660.794,"H2O","Low","3L"
"3L:1322852-1323459(+)","FBgn0010246;FBgn0035206;FBgn0035207;FBgn0035211;FBgn0035208;FBgn0266676;FBgn0011361;FBgn0035210;FBgn0035209;FBgn0035205;FBgn0010786",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,5,797.498,"H2O","Low","3L"
"3L:133536-134208(+)","FBgn0267455;FBgn0266951;FBgn0266949;FBgn0035099;FBgn0020386;FBgn0266950",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1179.17,"H2O","Low","3L"
"3L:13355933-13356631(+)","FBgn0036348;FBgn0265752;FBgn0040813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1417.3,"H2O","High","3L"
"3L:1336159-1337278(+)","FBgn0010246;FBgn0035211;FBgn0035208;FBgn0266676;FBgn0267487;FBgn0035213;FBgn0029514;FBgn0011361;FBgn0035210;FBgn0035209;FBgn0010786",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,6,1713.45,"H2O","High","3L"
"3L:13405979-13406693(+)","FBgn0052121;FBgn0002573;FBgn0036356;FBgn0260049",0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,545.032,"H2O","Low","3L"
"3L:13421571-13422366(+)","FBgn0260459;FBgn0036361;FBgn0053263;FBgn0036360;FBgn0052121;FBgn0036356;FBgn0036359;FBgn0012009;FBgn0012010;FBgn0260049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1413.88,"H2O","High","3L"
"3L:13486611-13487298(+)","FBgn0036372;FBgn0036373;FBgn0086708;FBgn0036369",0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,522.776,"H2O","Low","3L"
"3L:13488427-13489167(+)","FBgn0036374;FBgn0036373;FBgn0086708;FBgn0036372;FBgn0036369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,885.246,"H2O","Low","3L"
"3L:13495022-13495634(+)","FBgn0036374;FBgn0036372;FBgn0036373;FBgn0086708",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,647.148,"H2O","Low","3L"
"3L:1368232-1368794(+)","FBgn0267487;FBgn0052329;FBgn0052330;FBgn0003295;FBgn0052328",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,724.042,"H2O","Low","3L"
"3L:1375748-1376648(+)","FBgn0267487;FBgn0052329;FBgn0052330;FBgn0003295;FBgn0052328",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,4,1409.74,"H2O","High","3L"
"3L:1378467-1379266(+)","FBgn0267487;FBgn0052329;FBgn0052330;FBgn0003295;FBgn0052328",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,611.297,"H2O","Low","3L"
"3L:13917780-13918670(+)","FBgn0036386;FBgn0264006;FBgn0001108;FBgn0026376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977.41,"H2O","Low","3L"
"3L:13971433-13972381(+)","FBgn0052137;FBgn0025874;FBgn0036390;FBgn0036393;FBgn0001216;FBgn0036391;FBgn0036389;FBgn0263232",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4,516.814,"H2O","Low","3L"
"3L:14002449-14003272(+)","FBgn0036395;FBgn0036397;FBgn0250848;FBgn0036391;FBgn0036396;FBgn0036394;FBgn0036398",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,843.125,"H2O","Low","3L"
"3L:14003935-14005486(+)","FBgn0036395;FBgn0036397;FBgn0250848;FBgn0036391;FBgn0036396;FBgn0052133;FBgn0036398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,801.21,"H2O","Low","3L"
"3L:14055627-14056352(+)","FBgn0283503;FBgn0267736;FBgn0036406;FBgn0026418;FBgn0036405;FBgn0267795",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,964.952,"H2O","Low","3L"
"3L:14058151-14058946(+)","FBgn0013563;FBgn0283503;FBgn0267736;FBgn0036406;FBgn0026418;FBgn0036405;FBgn0267795",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,5,1139.84,"H2O","Low","3L"
"3L:14220838-14221582(+)","FBgn0085273;FBgn0036415;FBgn0013718;FBgn0036416",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,456.974,"H2O","Low","3L"
"3L:14224063-14224742(+)","FBgn0085273;FBgn0036415;FBgn0036416;FBgn0036417;FBgn0266948;FBgn0013718",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,706.557,"H2O","Low","3L"
"3L:14328997-14329521(+)","FBgn0001085;FBgn0036419;FBgn0266383",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,7,418.774,"H2O","Low","3L"
"3L:14352156-14352784(+)","FBgn0001085",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,928.214,"H2O","Low","3L"
"3L:14382886-14383605(+)","FBgn0001085;FBgn0036421;FBgn0262580",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1538.88,"H2O","High","3L"
"3L:14547946-14548742(+)","FBgn0028418;FBgn0026409;FBgn0262891;FBgn0054039;FBgn0087007;FBgn0036428;FBgn0266117",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,6,2241.81,"H2O","High","3L"
"3L:1462952-1463847(+)","FBgn0028567;FBgn0267487;FBgn0266116;FBgn0052319;FBgn0004635;FBgn0020248",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1021.29,"H2O","Low","3L"
"3L:14649325-14649950(+)","FBgn0041604;FBgn0267548",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,925.354,"H2O","Low","3L"
"3L:14756288-14756789(+)","FBgn0260233;FBgn0013263;FBgn0036446;FBgn0259175;FBgn0036447;FBgn0053260;FBgn0036448",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,430.073,"H2O","Low","3L"
"3L:14757627-14758405(+)","FBgn0260233;FBgn0013263;FBgn0036446;FBgn0259175;FBgn0036447;FBgn0053260;FBgn0036448",0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,6,939.624,"H2O","Low","3L"
"3L:14759178-14760086(+)","FBgn0260233;FBgn0013263;FBgn0036446;FBgn0259175;FBgn0036447;FBgn0053260;FBgn0036448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,749.448,"H2O","Low","3L"
"3L:14781013-14781652(+)","FBgn0036449;FBgn0036450;FBgn0036451;FBgn0036446;FBgn0036447;FBgn0036448",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,766.602,"H2O","Low","3L"
"3L:14782245-14782745(+)","FBgn0036449;FBgn0036450;FBgn0036451;FBgn0036446;FBgn0036447;FBgn0036448",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,625.475,"H2O","Low","3L"
"3L:14801659-14802394(+)","FBgn0036450;FBgn0036451;FBgn0029148;FBgn0036454;FBgn0001120",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,847.344,"H2O","Low","3L"
"3L:1494649-1495339(+)","FBgn0028577;FBgn0261243;FBgn0086670;FBgn0263839;FBgn0267462;FBgn0263471;FBgn0043458;FBgn0011204;FBgn0020248",0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,860.522,"H2O","Low","3L"
"3L:14987293-14988019(+)","FBgn0002778;FBgn0036462;FBgn0036461;FBgn0036463;FBgn0023174;FBgn0036460;FBgn0263380;FBgn0036459;FBgn0000216;FBgn0040296",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,507.575,"H2O","Low","3L"
"3L:15011434-15012350(+)","FBgn0047338;FBgn0036462;FBgn0261090;FBgn0036461;FBgn0036463;FBgn0023174",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,667.747,"H2O","Low","3L"
"3L:15070709-15071564(+)","FBgn0086690;FBgn0261090;FBgn0263767;FBgn0036471;FBgn0036474",0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,2,0,0,9,1256.46,"H2O","High","3L"
"3L:15132202-15132993(+)","FBgn0065051;FBgn0014002;FBgn0036480;FBgn0266946;FBgn0036483;FBgn0266945;FBgn0052847;FBgn0036482;FBgn0036484;FBgn0036485;FBgn0047178;FBgn0036481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.428,"H2O","Low","3L"
"3L:15140119-15140822(+)","FBgn0065051;FBgn0014002;FBgn0036480;FBgn0266946;FBgn0036483;FBgn0266945;FBgn0036486;FBgn0036482;FBgn0036484;FBgn0036485;FBgn0047178;FBgn0036481",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,881.651,"H2O","Low","3L"
"3L:15141249-15142047(+)","FBgn0065051;FBgn0014002;FBgn0036480;FBgn0266946;FBgn0036483;FBgn0266945;FBgn0036486;FBgn0036482;FBgn0036484;FBgn0036485;FBgn0047178",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1006.63,"H2O","Low","3L"
"3L:15304034-15304858(+)","FBgn0036493;FBgn0036492;FBgn0036491",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,6,1966.1,"H2O","High","3L"
"3L:1546147-1547081(+)","FBgn0035227;FBgn0035235;FBgn0035233;FBgn0052313;FBgn0053971;FBgn0035232;FBgn0041342;FBgn0267463;FBgn0035231;FBgn0035228;FBgn0035229",3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,9,1752.39,"H2O","High","3L"
"3L:15537562-15538471(+)","FBgn0261682;FBgn0261681;FBgn0036505;FBgn0053986;FBgn0053985;FBgn0262893;FBgn0004396;FBgn0053983",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,1160.12,"H2O","Low","3L"
"3L:15590009-15590725(+)","FBgn0036516;FBgn0036512;FBgn0036514;FBgn0036515;FBgn0267390;FBgn0036518;FBgn0261109",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2647.23,"H2O","High","3L"
"3L:15596351-15597042(+)","FBgn0036516;FBgn0036514;FBgn0036515;FBgn0036518;FBgn0036519;FBgn0036520",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,6,698.786,"H2O","Low","3L"
"3L:15597132-15597936(+)","FBgn0036516;FBgn0036514;FBgn0036515;FBgn0036518;FBgn0036519;FBgn0036520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2553.13,"H2O","High","3L"
"3L:15701243-15702143(+)","FBgn0085481;FBgn0041160;FBgn0036529;FBgn0085480;FBgn0260777",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1151.97,"H2O","Low","3L"
"3L:15710154-15710826(+)","FBgn0041160;FBgn0260776;FBgn0260777;FBgn0010105",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,7,616.415,"H2O","Low","3L"
"3L:15825463-15826147(+)","FBgn0040230;FBgn0036537;FBgn0261722;FBgn0036534;FBgn0036536;FBgn0015025;FBgn0052150;FBgn0036538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,655.764,"H2O","Low","3L"
"3L:1583045-1583653(+)","FBgn0035237;FBgn0035235;FBgn0035236",0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,7,1010.33,"H2O","Low","3L"
"3L:15944555-15945179(+)","FBgn0283649;FBgn0000489;FBgn0036545;FBgn0036547",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1528.73,"H2O","High","3L"
"3L:16003951-16004547(+)","FBgn0036557;FBgn0267660;FBgn0036556;FBgn0259824;FBgn0264601;FBgn0263601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.891,"H2O","Low","3L"
"3L:16026047-16026621(+)","FBgn0263570;FBgn0264600;FBgn0044028;FBgn0261634;FBgn0267660;FBgn0036560;FBgn0260646;FBgn0264601;FBgn0260635;FBgn0263601;FBgn0261633",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,576.922,"H2O","Low","3L"
"3L:16049748-16050378(+)","FBgn0005536;FBgn0036560;FBgn0267549;FBgn0260646;FBgn0264602;FBgn0260635",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,763.354,"H2O","Low","3L"
"3L:16060951-16061764(+)","FBgn0260635;FBgn0005536;FBgn0264602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1298.48,"H2O","High","3L"
"3L:16090770-16091750(+)","FBgn0005536;FBgn0053258;FBgn0036569;FBgn0036565;FBgn0036570;FBgn0036568;FBgn0036563;FBgn0263603;FBgn0036566;FBgn0262987;FBgn0036567;FBgn0263602",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,6,1283.66,"H2O","High","3L"
"3L:16128332-16129138(+)","FBgn0003076;FBgn0036575;FBgn0036574;FBgn0036576;FBgn0036571;FBgn0266724;FBgn0010280;FBgn0052152;FBgn0011016",0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,8,516.668,"H2O","Low","3L"
"3L:16158009-16159050(+)","FBgn0053795;FBgn0036576;FBgn0053796;FBgn0052152",1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,6,1969.4,"H2O","High","3L"
"3L:16159153-16160031(+)","FBgn0053795;FBgn0036576;FBgn0053796",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,5,1603.38,"H2O","High","3L"
"3L:16286208-16286907(+)","FBgn0036593;FBgn0036596;FBgn0036591;FBgn0040796;FBgn0036592;FBgn0036595;FBgn0036598;FBgn0036594;FBgn0040797;FBgn0036590;FBgn0036597;FBgn0036589",2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1018.04,"H2O","Low","3L"
"3L:16377197-16377869(+)","FBgn0036618;FBgn0036619;FBgn0036624;FBgn0036621;FBgn0036623;FBgn0036620;FBgn0036617;FBgn0036622;FBgn0266099;FBgn0042137",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,5,1269.84,"H2O","High","3L"
"3L:16407151-16407849(+)","FBgn0027080;FBgn0036629;FBgn0036627;FBgn0028399;FBgn0266099;FBgn0014163;FBgn0053158;FBgn0261799",0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,6,1282.1,"H2O","High","3L"
"3L:16473926-16474894(+)","FBgn0004569;FBgn0053158",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,6,965.12,"H2O","Low","3L"
"3L:16476003-16476723(+)","FBgn0004569;FBgn0053158",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,1796.95,"H2O","High","3L"
"3L:16540562-16541258(+)","FBgn0263131;FBgn0036638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,733.436,"H2O","Low","3L"
"3L:16647445-16648039(+)","FBgn0041721;FBgn0260960;FBgn0000017;FBgn0010223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.702,"H2O","Low","3L"
"3L:16661129-16661851(+)","FBgn0041721;FBgn0063485;FBgn0264605;FBgn0267697;FBgn0260960;FBgn0010223;FBgn0036652;FBgn0040512;FBgn0266776;FBgn0000017",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,521.473,"H2O","Low","3L"
"3L:16698277-16699475(+)","FBgn0063485;FBgn0264605;FBgn0267557;FBgn0266689;FBgn0036654;FBgn0000414",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,6,1162.73,"H2O","Low","3L"
"3L:16700971-16701776(+)","FBgn0063485;FBgn0264605;FBgn0267557;FBgn0266689;FBgn0036654;FBgn0000414",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,725.719,"H2O","Low","3L"
"3L:16709651-16710351(+)","FBgn0063485;FBgn0264605;FBgn0267557;FBgn0036656;FBgn0036655;FBgn0266689;FBgn0036654;FBgn0000414",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1730.09,"H2O","High","3L"
"3L:16801713-16802235(+)","FBgn0036663;FBgn0021768;FBgn0025582;FBgn0036665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,614.361,"H2O","Low","3L"
"3L:16826259-16826869(+)","FBgn0021768;FBgn0036665",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2151.73,"H2O","High","3L"
"3L:16829741-16830403(+)","FBgn0036667;FBgn0036665;FBgn0036666;FBgn0036668;FBgn0021768",0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,8,1070.54,"H2O","Low","3L"
"3L:16837375-16838525(+)","FBgn0052161;FBgn0036667;FBgn0036665;FBgn0036666;FBgn0036668;FBgn0003250",0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,7,504.072,"H2O","Low","3L"
"3L:16869236-16869782(+)","FBgn0052170;FBgn0036670;FBgn0261565;FBgn0003410;FBgn0036671;FBgn0003250;FBgn0259794;FBgn0267558",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,4,476.959,"H2O","Low","3L"
"3L:16958037-16958542(+)","FBgn0036681;FBgn0261547;FBgn0010352;FBgn0036680",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,587.424,"H2O","Low","3L"
"3L:16985508-16986418(+)","FBgn0261547;FBgn0036684;FBgn0262189",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,806.428,"H2O","Low","3L"
"3L:17009859-17010590(+)","FBgn0036686;FBgn0011293;FBgn0036685;FBgn0036688;FBgn0262189;FBgn0036684;FBgn0036687",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,608.033,"H2O","Low","3L"
"3L:17059854-17060436(+)","FBgn0036696;FBgn0260943;FBgn0036697;FBgn0010424;FBgn0036698",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1250.12,"H2O","High","3L"
